observation_type,domain,dataset_instance,var_name,var_label,var_def,pct_public,keep_previous,keep
area-level,Physical and Natural Environment,BEC_v2.0,BECPAYCAPSUB,Payment capacity of subway,"Measures the capacity of payment of a city in the Subway, according to the minimum wage (applicable only to L1). The year of the minimum wage is from September of 2017 in USD. Interpretation: It is calculated as the ratio between price trip of subway*10 and minimum wage. A unit with higher values indicates more expensive systems according to the minimum wage of each country.",33.33,0,
area-level,Physical and Natural Environment,BEC_v2.0,BECPCTINCREASE,% increase in urban area between 1985 and 2015,A percentage increase in total urban area in 2015 compared to 1985. This is calculated as ((total urban area in 2015- total urban area in 1985)/total urban area in 1985)*100. Interpretation: Higher values mean a more expansive urban growth.,17.11,0,
area-level,Physical and Natural Environment,BEC_v2.0,BECPCTPERMWATER,Percent area covered by permanent water bodies,Percentage of area covered by permanent water bodies (present at least once a month for all months in a year) of a geographic unit in a year. Interpretation: higher percentages indicate a stronger presence of water bodies.,0.01,0,
area-level,Physical and Natural Environment,BEC_v2.0,BECPCTSEASONWATER,Percent area covered by seasonal water bodies,Percentage of area covered by seasonal water bodies (present only in some months in a year) of a geographic unit in a year. Interpretation: higher percentages indicate a stronger presence of water bodies.,0.01,0,
area-level,Physical and Natural Environment,BEC_v2.0,BECPCTURBAN,Percentage of urban area,"Total urban area divided by the total area of the geographic unit, and multiplied by 100. Ranges from 0 to 100. Interpretation: Large value indicates a higher level of urbanization of the geographic unit.",2.09,0,
area-level,Physical and Natural Environment,BEC_v2.0,BECPCTURBANGUFFB,Percentage of urban area,"Total urban area (using both Global Urban Footprint (GUF) and Facebook population density maps) divided by the total area of the geographic unit, and multiplied by 100. Ranges from 0 to 100. Interpretation: Large value indicates a higher level of urbanization of the geographic unit.",0,0,
area-level,Physical and Natural Environment,BEC_v2.0,BECPCTWATERAREA,Total area for calculating percentage of blue space,Total area in hectares for calculating percentage of blue space,0,0,
area-level,Physical and Natural Environment,BEC_v2.0,BECPERCAPCO2,Per capita carbon footprint,"Per capita carbon (CO2) footprint of a geography. Interpretation: total and per capita carbon emission (carbon footprint) in a geography based on national or subnational carbon footprint, the geography’s population, purchasing power and expenditure patterns. Higher values indicate greater carbon emissions, which may indicate more emissions of co-pollutants (e.g. NOx, SOx) and anthropogenic heat. To get per capita carbon footprint, we first derived gridded population counts by dividing GGMCF’s total carbon footprint by its per capita carbon footprint. We then calculated total population in a geography using area-weighted sum. We finally calculated a geography’s capita carbon footprint by dividing the geography’s total carbon footprint by its total population.",14.56,0,
area-level,Physical and Natural Environment,BEC_v2.0,BECPOPCONC,Population concentration,Gini coefficient of population in all urban patches inside the geographic boundary. Measures the evenness of the distribution of population in units of 100m x 100m grid cells. Ranges from 0 (uniform population) to 1 (highly concentrated population). Population is adjusted for United Nations' country-level population projections. Interpretation: Measures how evenly distributed is the population over the urban area. A higher value indicates an uneven distribution. Using adjusted and unadjusted population will generate the same values.,15.54,0,
area-level,Physical and Natural Environment,BEC_v2.0,BECPOPDENS,Population density,Population per square kilometer in all the urban patches or administrative area inside the geographic boundary. Interpretation: A higher value indicates a denser urban development pattern.,0.13,0,
area-level,Physical and Natural Environment,BEC_v2.0,BECPRSAERTRAM,Presence of aerial tram,"Measure of the existence of Aerial tram system. The aerial tramway is based on the principle of cableways in sightseeing tours in alpine resorts. The aerial tramway is a type or aerial lift which uses one or two stationary support ropes and a third moving rope to move a cabin through a defined path. Interpretation: A binary variable indicating 1 if an Aerial tram system exists in the city, 0 in the other case.  Year of data: December 2017",14.55,0,
area-level,Physical and Natural Environment,BEC_v2.0,BECPRSBRT,Presence of a Bus Rapid Transit,"Measure the existence of a Bus Rapid Transit (BRT) system. The BRT is a bus-based public transport system designed to improve upon the capacity and reliability of a conventional bus system. A BRT system includes roadways specially designated as corridors for buses and stations for boarding. BRT aims to combine the capacity and speed of a metro and the flexibility and lower cost of a bus system. Year of data: September 2017. Interpretation: A binary variable indicating 1 if a BRT system exists in the city, 0 in the other case.",14.55,0,
area-level,Physical and Natural Environment,BEC_v2.0,BECPRSSUBWAY,Presence of subway,"Measure of the existence of Subway system. The mass rapid transit, also known as heavy rail, metro or subway, is a type of high-capacity public transport. The subway systems are compounds of electrical railways that operate on an exclusive right-of-way which is often separated in tunnels or elevated railways. Interpretation: A binary variable indicating 1 if a Subway system exists in the city, 0 in the other case. ",14.55,0,
area-level,Physical and Natural Environment,BEC_v2.0,BECPTCHDENS,Patch density,Number of urban patches divided by the total area of the geographic unit (in 100 hectares). Interpretation: Higher patch density reflects fragmentation of urban expansion.,2.09,0,
area-level,Physical and Natural Environment,BEC_v2.0,BECSLOPEAVE,Average slope in geographic unit.,"Average slope over land area (excluding water) in meters. Large value reflects more hilliness. Slope is derived from Shuttle Radar Topography Mission (SRTM) elevation model, by calculating elevation gradient (slope) using the 4-connected neighbors of each pixel",0.15,0,
area-level,Physical and Natural Environment,BEC_v2.0,BECSLOPEMAX,Maximum slope in geographic unit.,"Maximum slope over land area (excluding water) in meters. Large value reflects more hilliness. Slope is derived from Shuttle Radar Topography Mission (SRTM) elevation model, by calculating elevation gradient (slope) using the 4-connected neighbors of each pixel",0.15,0,
area-level,Physical and Natural Environment,BEC_v2.0,BECSLOPEMEDIAN,Median slope in geographic unit.,"Median slope over land area (excluding water) in meters. Large value reflects more hilliness. Slope is derived from Shuttle Radar Topography Mission (SRTM) elevation model, by calculating elevation gradient (slope) using the 4-connected neighbors of each pixel",0.15,0,
area-level,Physical and Natural Environment,BEC_v2.0,BECSLOPEMIN,Minimum slope in geographic unit.,"Minimum slope over land area (excluding water) in meters. Large value reflects more hilliness. Slope is derived from Shuttle Radar Topography Mission (SRTM) elevation model, by calculating elevation gradient (slope) using the 4-connected neighbors of each pixel",0.15,0,
area-level,Physical and Natural Environment,BEC_v2.0,BECSLOPEP25,25th percentile of slope in geographic unit.,"25th percentile of slope over land area (excluding water) in meters. Large value reflects more hilliness or variation in hilliness. Slope is derived from Shuttle Radar Topography Mission (SRTM) elevation model, by calculating elevation gradient (slope) using the 4-connected neighbors of each pixel",0.15,0,
area-level,Physical and Natural Environment,BEC_v2.0,BECSLOPEP75,75th percentile of slope in geographic unit.,"75th percentile of slope over land area (excluding water) in meters. Large value reflects more hilliness or variation in hilliness. Slope is derived from Shuttle Radar Topography Mission (SRTM) elevation model, by calculating elevation gradient (slope) using the 4-connected neighbors of each pixel",0.15,0,
area-level,Physical and Natural Environment,BEC_v2.0,BECSLOPESTD,Standard deviation of slope in geographic unit.,"Standard deviation of slope over land area (excluding water) in meters. Large value reflects more variation in hilliness. Slope is derived from Shuttle Radar Topography Mission (SRTM) elevation model, by calculating elevation gradient (slope) using the 4-connected neighbors of each pixel",0.15,0,
area-level,Physical and Natural Environment,BEC_v2.0,BECSTTP,Street design profiles,Characterize the street design profiles designed by the finite mixture modelling approach. Profiles includes several other SALURBAL Built Environement measures please reference to the variable origin section for details. ,100,0,
area-level,Physical and Natural Environment,BEC_v2.0,BECSUBWAYLNGTH,Subway length,"Measure of the overall levels of subway supply. The mass rapid transit, also known as heavy rail, metro or subway, is a type of high-capacity public transport. The subway systems are compounds of electrical railways that operate on an exclusive right-of-way which is often separated in tunnels or elevated railways. Interpretation: The total length in km of Subway. A unit with higher values has a bigger subway system. Year of data: December 2017",14.55,0,
area-level,Physical and Natural Environment,BEC_v2.0,BECSUBWAYPRCTRIP,Subway price trip,"Measure Subway transport services affordability. The mass rapid transit, also known as heavy rail, metro or subway, is a type of high-capacity public transport. The subway systems are compounds of electrical railways that operate on an exclusive right-of-way which is often separated in tunnels or elevated railways. Interpretation: The Subway price for one-way trip standard in USD (applicable only to L1, for the L2 cities it is the same as L1). A unit with a higher travel price indicates a higher cost for the user per trip. Year of data: December 2017",33.33,0,
area-level,Physical and Natural Environment,BEC_v2.0,BECSUPBIKEFAC,Supply of bike facilities,"Measure the offer of km of Bike facilities. Bicycle facilities is a public infrastructure and other areas aimed at the exclusive or shared use of bicycles. This can be an exclusive lane of a public road or an independent way where bicycles can transit. Interpretation: It is calculated as the ratio between bike facilities system length and population unadjusted. A unit with higher values of supply of bicycle lanes indicates the presence of a system with greater capacity for attention to the population. Year of data: December 2017.
",16.23,0,
area-level,Physical and Natural Environment,BEC_v2.0,BECSUPBRT,Supply of Bus Rapid Transit,Measure the supply of Bus Rapid Transit (BRT) in km per person. The BRT is a bus-based public transport system designed to improve upon the capacity and reliability of a conventional bus system. A BRT system includes roadways specially designated as corridors for buses and stations for boarding. BRT aims to combine the capacity and speed of a metro and the flexibility and lower cost of a bus system. Interpretation: It is calculated as the ratio between BRT system length and total population. A unit with higher values of supply of BRT indicates the presence of a system with greater capacity for attention to the population. Year of data: September 2017.,14.51,0,
area-level,Physical and Natural Environment,BEC_v2.0,BECSUPSUB,Supply of subway,"Measures the subway length per capita. The mass rapid transit, also known as heavy rail, metro or subway, is a type of high-capacity public transport. The subway systems are compounds of electrical railways that operate on an exclusive right-of-way which is often separated in tunnels or elevated railways. Interpretation: It is calculated as the ratio between subway system length and population unadjusted. A unit with higher values of supply of subway indicates the presence of a system with greater capacity for attention to the population. Year of data: December 2017",14.51,0,
area-level,Physical and Natural Environment,BEC_v2.0,BECTGSAREA,Total greenspace area,"Total area (in hectares) of grid cells classified as greenspace inside the geographic boundary. Greenspace excludes water bodies and limited no observation areas in remote sensing images (due to cloud and shadow). This variable is calculated for L1UX and L3 using a 2017 greenspace map at 10 m resolution. Due to the large size of L1AD and L2, this variable is calculated using the same greenspace map resampled to 30 m resolution. A higher value indicates more green area.",0.16,0,
area-level,Physical and Natural Environment,BEC_v2.0,BECTNRGUF,True negative rate (HSR vs GUF),"True negative rate is defined as probability that non-urban HSR pixels are classified as non-urban in GUF (the dataset used to derive the cross-sectional urban patch metrics). The measure was computed using the 2015 data. The true negative rate varies from 0 to 100. Missing values occurred for units that did not have negatives, false positives, true positives, or true negatives (because of missing data, for example) and which had zeroes in the nominator or denominator when computing the rates. Interpretation: Higher values mean greater agreement between HSR and GUF regarding non-urban pixels.",17.44,0,
area-level,Physical and Natural Environment,BEC_v2.0,BECTOTCO2,Total carbon footprint,"Total carbon (CO2) footprint of a geography.Unit for total carbon footprint is ktCO2 (1kt = 1000 ton). Interpretation: total carbon emission (carbon footprint) in a geography based on national or subnational carbon footprint, the geography’s population, purchasing power and expenditure patterns. Higher values indicate greater carbon emissions, which may indicate more emissions of co-pollutants (e.g. NOx, SOx) and anthropogenic heat.",14.55,0,
area-level,Physical and Natural Environment,BEC_v2.0,BECTPERMWATERAREA,Total area of permanent water bodies,Area in hectares covered by permanent water bodies (present at least once a month for all months in a year) of a geographic unit in a year. ,0,0,
area-level,Physical and Natural Environment,BEC_v2.0,BECTPRGUF,True positive rate,"True positive rate is defined as probability of overlap between urban HSR and urban GUF pixels (the dataset used to derive the cross-sectional urban patch metrics) relative to GUF urban. In other words, it is the probability that the pixels classified as urban according to HSR are also classified as urban according to GUF. The measure was computed using the 2015 data. The true positive rate varies from 0 to 100. Missing values occurred for units that did not have negatives, false positives, true positives, or true negatives (because of missing data, for example) and which had zeroes in the numerator or denominator when computing the rates. Interpretation: Higher values mean greater agreement between HSR and GUF regarding urban pixels.",17.04,0,
area-level,Physical and Natural Environment,BEC_v2.0,BECTSEASONWATERAREA,Total area of seasonal water bodies,Area in hectares covered by seasonal water bodies (present only in some months in a year) of a geographic unit in a year. ,0,0,
area-level,Physical and Natural Environment,BEC_v2.0,BECTUAREA,Total urban area,"Total area (in hectares) of 30m x 30m grid cells classified as urbanized inside the geographic boundary. Interpretation: Effective urbanized area, net of water, forest. Large value reflects higher level of urban expansion.",2.09,0,
area-level,Physical and Natural Environment,BEC_v2.0,BECTUAREAGUFFB,Total urban area (GUF+Facebook),Total area (in hectares) of 30m x 30m grid cells classified as urbanized inside the geographic boundary using both Global Urban Footprint (GUF) and Facebook population density maps,0,0,
area-level,Physical and Natural Environment,BEC_v2.0,BECURBLANDP,Urban landscape profiles,Characterize the urban landscape profiles designed by the finite mixture modelling approach. ,100,0,
area-level,Demographics,BTH_v1.0,BTHBIRTHS,Number of births,Number of births,0.97,1,
area-level,Mortality,DTHRED1_v2.0,DTHRED1DEATHS,"Number of deaths with redistributed ill-defined, GHE Tier 1 cause of death","Number of deaths in the geographic region, age, year, male and cause of death combination with redistributed ill-defined.",1.14,1,
area-level,Mortality,DTHRED2_v2.0,DTHRED2DEATHS,"Number of deaths with redistributed ill-defined, GHE Tier 2 cause of death","Number of deaths in the geographic region, age, year, male and cause of death combination with redistributed ill-defined.",1.37,1,
area-level,Mortality,DTH_v2.0,DTHDEATHS,Number of deaths,Number of all-cause deaths,1.25,1,
area-level,Mortality,LEMEDIAN_L1_v1.0,LEALE,Life Expectancy,"Estimated life expectancy at given age, sex at a given geographic area.",83.61,1,
area-level,Mortality,LE_L1_v1.0,LEALESAMPLE,Sex-specific life expectancy,Estimated sex-specific life expectancy at the age specified by LEAGE,0,1,
area-level,Mortality,MR_allcause_v2.0,AADR,Age-adjusted mortality rate,"Age-adjusted mortality rate expressed as per 1,000 population",4.35,1,
area-level,Mortality,MR_allcause_v2.0,CDR,Crude mortality rate,"Crude mortality rate expressed as per 1,000 population",4.35,1,
area-level,Demographics,PRJG_v2.0,PRJPD,Percent population change from 5 years prior to target year,Percent population change from 5 years prior to target year. The percent population change was calculated using the formula: [(PRJ<level>TPY1 - PRJ<level>TPY2) / PRJ<level>TPY2] *100,1.2,1,
area-level,Demographics,PRJG_v2.0,PRJTPY1,Total population at target year,Total population at target year. The total population was calculated by summing the population estimates across all age and sex categories in the population projections datasets for the specified year. This was used as an intermediate variable in the calculation of the percent population change from 5 years prior to target year (PRJPD).,1.2,0,
area-level,Demographics,PRJG_v2.0,PRJTPY2,Total population 5 years prior to target year,Total population 5 years prior to target year. The total population was calculated by summing the population estimates across all age and sex categories in the population projections datasets for the specified year. This was used as an intermediate variable in the calculation of the percent population change from 5 years prior to target year (PRJPD).,1.2,0,
area-level,Demographics,PRJS_v2.0,PRJSPOP,Number of people,Number of people,1.68,0,
area-level,Demographics,PRJT_v2.0,PRJTPOP,Number of people,Number of people at given sex,0.91,1,
area-level,Demographics,PRJ_v2.0,PRJPOP,Number of people,Number of people,1.38,1,
area-level,"Social, Economic, and Services Environment",SECGDPGPC_v1.0,SECGDPGADML,Administrative level of GDP per capita ,"Administrative level of the GDP estimate assigned to each SALID1. For L1ADs which incorporate multiple subnational administrative units, levels of all administrative units included in the GDP estimate are concatenated. For example, an L1AD which overlapped both a department and a federal district would have a value of “Department / Federal District.”",3.85,0,
area-level,"Social, Economic, and Services Environment",SECGDPGPC_v1.0,SECGDPGPPC,GDP per capita,"Gross Domestic Product (GDP) per capita (purchasing power parity in constant 2011 international US Dollars). Subnational GDP estimates are based on an extensive econometric analysis by Genaioli and colleagues in 2013. GDP per capita (purchasing power parity in constant 2011 international USD) was estimated globally using complete data available at the smallest administrative unit possible. Within Latin American countries, this subnational level was generally the first-level administrative unit (departments/states/etc.) in addition to federal districts in Argentina, Brazil, Mexico, and Nicaragua. The exception is Costa Rica, which has one national GDP estimate and no estimates at the subnational level.",3.85,1,
area-level,"Social, Economic, and Services Environment",SEC_Census_v1.0,CNSCROWD25BR,"Overcrowding, bedrooms",Percentage of households with more than 2.5 people per bedroom. ,1.44,1,
area-level,"Social, Economic, and Services Environment",SEC_Census_v1.0,CNSCROWD3RM,"Overcrowding, rooms",Percentage of households with more than 3 people per room. ,0.7,1,
area-level,"Social, Economic, and Services Environment",SEC_Census_v1.0,CNSEMPRAT,"Unemployment, female to male ratio",Ratio of the female (15 years of age and older) unemployment rate to the male (15 years of age and older) unemployment rate.,0.43,1,
area-level,"Social, Economic, and Services Environment",SEC_Census_v1.0,CNSFLOOR,Finished floors,"Percentage of dwellings with finished floors. Finished floors include any material that is not any type of earth (dirt, sand, or loose brick).",0.26,1,
area-level,"Social, Economic, and Services Environment",SEC_Census_v1.0,CNSHSEDRAT,"Completed secondary education, female to male ratio",Ratio of the female population aged 25 or older who completed secondary education or above to the male population aged 25 or older who completed secondary education or above.,0.62,1,
area-level,"Social, Economic, and Services Environment",SEC_Census_v1.0,CNSLABPART,Labor force participation,Percentage of the working-age population 15 years of age or older who participate in the labor force. (Employed + Unemployed)/(Total working age population). ,0.4,1,
area-level,"Social, Economic, and Services Environment",SEC_Census_v1.0,CNSLABPROP,Female labor force,Percentage of the female labor force (15 years of age and older) among the total labor force.,0.4,1,
area-level,"Social, Economic, and Services Environment",SEC_Census_v1.0,CNSLABRAT,"Labor force participation, female to male ratio",Ratio of the female (15 years of age and older) labor force participation rate to the male (15 years of age and older) labor force participation rate.,0.4,1,
area-level,"Social, Economic, and Services Environment",SEC_Census_v1.0,CNSMINHS,Completed secondary education,"Percentage of the population aged 25 or older who completed secondary education or above. In general, completed secondary is considered to be attained at 12 years of education.",0.62,1,
area-level,"Social, Economic, and Services Environment",SEC_Census_v1.0,CNSMINPR,Completed primary education,"Percentage of the population aged 25 or older who completed primary education or above. In general, completed primary is considered to be attained at 6 years of education. ",0.4,1,
area-level,"Social, Economic, and Services Environment",SEC_Census_v1.0,CNSMINUN,Completed university education,"Percentage of the population aged 25 or older who completed university education or above. In general, completed university is considered to be attained at 4 years of university education or above. ",0.66,1,
area-level,"Social, Economic, and Services Environment",SEC_Census_v1.0,CNSPOP,Census population,Population count.,0,0,
area-level,"Social, Economic, and Services Environment",SEC_Census_v1.0,CNSSEWANY,Any sewage connection,"Percentage of households connected to a sewage system of any type. A sewage connection includes a connection to a sewage system or a septic tank. The absence of a sewage connection includes non-sanitary pit latrines, disposal in natural bodies of water, or others.",0.27,1,
area-level,"Social, Economic, and Services Environment",SEC_Census_v1.0,CNSSEWNET,Sewage network connection,Percentage of households connected to a sewage network.,0.37,1,
area-level,"Social, Economic, and Services Environment",SEC_Census_v1.0,CNSST,School attendance,Percentage of the population aged 15 to 17 years attending school.,0.41,1,
area-level,"Social, Economic, and Services Environment",SEC_Census_v1.0,CNSSTRAT,"School attendance, female to male ratio",Ratio of the proportion of the female population aged 15 to 17 attending school to the proportion of the male population aged 15 to 17 attending school.,0.42,1,
area-level,"Social, Economic, and Services Environment",SEC_Census_v1.0,CNSUNEMP,Unemployment,"Percentage of the labor force (15 years of age and older) who are unemployed and are actively seeking employment, unemployment rate. (Unemployed)/(Employed + Unemployed)",0.4,1,
area-level,"Social, Economic, and Services Environment",SEC_Census_v1.0,CNSWALLDUR1,"Walls, durable materials","Percentage of dwellings with exterior walls mostly composed of durable materials. Durable materials include masonry, stone, cement, adobe, metal, glass, and other fabricated materials (sometimes mixed with wood).",1.56,1,
area-level,"Social, Economic, and Services Environment",SEC_Census_v1.0,CNSWALLDUR2,"Walls, masonry type materials","Percentage of dwellings with exterior walls mostly made of brick, stone, concrete, cement and/or similar materials. Walls made of adobe materials are excluded due to variations in how adobe is defined across countries.",1.56,1,
area-level,"Social, Economic, and Services Environment",SEC_Census_v1.0,CNSWALLDUR3,"Walls, country-defined durable",Percentage of all dwellings with exterior walls made of materials that the country has defined as durable. Individual country wall durability definitions are based on descriptions used by the respective national statistics agency.  ,1.56,1,
area-level,"Social, Economic, and Services Environment",SEC_Census_v1.0,CNSWATIN,Indoor piped water,Percentage of households with piped water access inside the dwelling.,0.76,1,
area-level,"Social, Economic, and Services Environment",SEC_Census_v1.0,CNSWATNET,Water network,Percentage of households with water from a public or private water network.,0.35,1,
area-level,"Social, Economic, and Services Environment",SEC_Census_v1.0,CNSWATPIPE,Piped water,"Percentage of households with piped water. Piped water includes all piped water, regardless of whether the water is within or outside the dwelling and property. The water connection may also be exclusive or shared between households. Piped water may not always be from potable sources.",0.66,1,
area-level,"Social, Economic, and Services Environment",SEC_GINICEPAL_v1.0,SECGINICEPAL,Income-based Gini obtained from CEPAL,"The Gini Index is a widely used summary measure of economic inequality that describes the distribution of wealth or income in a population. The final index calculated ranges from 0 to 1 with 0 expressing perfect equality and 1 expressing perfect inequality. 
Some features of the Gini Index as a measure of inequality are: 1)Population independence: The Gini Index does not depend on the size of the population. However, age structure and population mobility may play a role (people generally have low income when they are younger vs. when they are older); 2) Scale independence: The Gini Index does not depend on the size of the economy. However, it is important to keep in mind that small populations or less diverse economies tend to have small Gini Indices; 3) Transfer principle: if income is transferred from a rich person to a poor person the resulting distribution is more equal. The Gini index was calculated based on per capita household income deciles using disaggregated data on monetary income from salaries, rents, capital, transfers, and other from country household surveys. Data were harmonized across surveys to ensure internal consistency and for comparison between countries and cities, including adjusting per capita incomes for purchasing power parity using 2005 as the reference year and the consumer price index of a given survey year. The primary estimates were completed by the Division of Social Development of CEPAL and verified by the Global Urban Observatory of the UN Habitat. ",11.21,0,
area-level,"Social, Economic, and Services Environment",SEC_GINI_v1.0,SECGINICONS,Income GINI index,"A summary measure of economic inequality in terms of the distribution of per capita household income in the defined geographic area. The Gini Index is a widely used summary measure of economic inequality that describes distribution of wealth or income in a population. The Gini Index is based on the Lorenz curve, which plots the cumulative percentage of households (from the poorest to the richest) on the horizontal axis against the cumulative percentage of the income or consumption variable on the vertical axis. The Gini Index is calculated as twice the area between the Lorenz curve and the diagonal line crossing the intersection between the horizontal and vertical axes. The final index calculated ranges from 0 to 1 with 0 expressing perfect equality and 1 expressing perfect inequality. Some features of the Gini Index as a measure of inequality are:  
• Population independence: The Gini Index does not depend on the size of the population. However, age structure and population mobility may play a role (people generally have low income when they are younger vs. when they are older) 
• Scale independence: The Gini Index does not depend on the size of the economy. However, it is important to keep in mind that small populations or less diverse economies tend to have small Gini Indi-ces. 
• Transfer principle: if income is transferred from a rich person to a poor person the resulting distribution is more equal. ",0,1,
area-level,"Social, Economic, and Services Environment",SEC_GINI_v1.0,SECGINIINC,Consumption GINI index,"A summary measure of economic inequality in terms of the distribution of per capita household consumption in the defined geographic area. The Gini Index is a widely used summary measure of economic inequality that describes distribution of wealth or income in a population. The Gini Index is based on the Lorenz curve, which plots the cumulative percentage of households (from the poorest to the richest) on the horizontal axis against the cumulative percentage of the income or consumption variable on the vertical axis. The Gini Index is calculated as twice the area between the Lorenz curve and the diagonal line crossing the intersection between the horizontal and vertical axes. The final index calculated ranges from 0 to 1 with 0 expressing perfect equality and 1 expressing perfect inequality. Some features of the Gini Index as a measure of inequality are:  
• Population independence: The Gini Index does not depend on the size of the population. However, age structure and population mobility may play a role (people generally have low income when they are younger vs. when they are older) 
• Scale independence: The Gini Index does not depend on the size of the economy. However, it is important to keep in mind that small populations or less diverse economies tend to have small Gini Indi-ces. 
• Transfer principle: if income is transferred from a rich person to a poor person the resulting distribution is more equal. ",23.32,0,
area-level,"Social, Economic, and Services Environment",SEC_INDEXSCORES_v1.0,CNSSE1,Living conditions score,"Captures factors related to poverty and general living conditions. This score includes three variables: (1) the percentage of household with piped water inside the dwelling as a marker of living conditions; (2) the percentage of households with overcrowding (defined as more than 3 people per room, excluding kitchen and bathroom); and (3) the percentage of population aged 15-17 attending school. The latter variable is included because low school attendance among adolescents has been linked to poverty and early participation in the labor market, as well as exclusion from productive systems.  The score was created by summing the Z-scores for each component variable. Z-scores were created based on the distributions of all cities (L1AD) or all sub-cities (L2). For the construction of the score, we reverse coded the overcrowding indicator so higher score values signify better living conditions and lower poverty levels. ",9.43,1,
area-level,"Social, Economic, and Services Environment",SEC_INDEXSCORES_v1.0,CNSSE2,Service provision score,"Refers to services that cities provide to dwellings. This score includes two variables: (1) the percentage of households with access to water source from a municipal public or private water network, and (2) the percentage of households with sewage system connected to a municipal public or private sewage network. The score was created by summing the Z-scores for each variable. Z-scores were created based on the distributions of all cities (L1AD) or all sub-cities (L2). Higher score values signify better service provision in cities. ",9.23,1,
area-level,"Social, Economic, and Services Environment",SEC_INDEXSCORES_v1.0,CNSSE3,Population educational attainment score,"Refers to educational achievement in the overall population. We used aggregated data from individual level of education to retrieve (1) the percentage of population age 25 or above that has completed high school level or above, and (2) the percentage of population age 25 or above that completed university level or above. The score was created by summing the Z-scores for each variable. Z-scores were created based on the distributions of all cities (L1AD) or all sub-cities (L2). Higher score values signify better educational achievement in the population.",9,1,
area-level,"Social, Economic, and Services Environment",SEC_INDEXSCORES_v1.0,CNSSEI,Social environment index ,"This index aims to summarize the domains of education, water acces, sanitation and overcrowding. For its construction, one measure from each of the four domains of education (proportion of the population aged 25 or older who completed primary education or above), water access (proportion of households with piped water access inside the dwelling), sanitation (proportion of households connected to a public sewage network), and overcrowding (proportion of households with more than 3 people per room) was selected. Each measure was transformed into a Z-score using the mean and standard deviation from the census data. Overcrowding was reverse coded such that the direction of all measures indicate a better social environment. The four measures were summed then divided by 4 assuming equal weights for all four measures.  This index was developed using data for cities (L1AD), the same method was applied to create the index at sub-city (L2) level. The higher the index the best social environment.",9.43,1,
area-level,Demographics,SEC_MIGRATION_v1.0,CNSMIGRFORBORN,Foreign born,Foreign born as defined as the proportion of the current population that was born in a different country.,13.08,0,
area-level,Demographics,SEC_MIGRATION_v1.0,CNSMIGRINFOR,External migration (proportion of the current population that lived in a different country 5 years ago),External migration into the city (L1AD) or sub-city (L2) in last 5 years defined as the proportion of the current population that lived in a different country 5 years ago.,13.08,0,
area-level,Demographics,SEC_MIGRATION_v1.0,CNSMIGRININT,Internal migration (rural and urban-to-urban) in last 5 years,Internal migration (rural and urban-to-urban) into the city (L1AD) or sub-city (L2) in last 5 years defined as the proportion of the current population that lived elsewhere in the same country 5 years ago.,13.08,0,
area-level,Demographics,SEC_MIGRATION_v1.0,CNSMIGRININTR,Internal migration (rural-to-urban) in last 5 years ,Internal migration (rural-to-urban) into the city (L1AD) or sub-city (L2) in last 5 years defined as the proportion of the current population that lived in NON-SALURBAL (rural) areas of the same country 5 years ago.,13.08,0,
area-level,Demographics,SEC_MIGRATION_v1.0,CNSMIGRININTU,Internal migration (urban-to-urban) in last 5 years ,Internal migration (urban-to-urban) into the city (L1AD) or sub-city (L2) last 5 years defined as the proportion of the current population that lived in other SALURBAL areas of the same country 5 years ago.,13.08,0,
area-level,Demographics,SEC_MIGRATION_v1.0,CNSMIGRINTOTAL,All migration (internal and external) in last 5 years.,All migration into the city (L1AD) or sub-city (L2) (internal and external) in last 5 years defined as the proportion of the current population that lived elsewhere 5 years ago. Internal refers to  migration from elsewhere in the country. External refer to migration from outside the country.,13.08,0,
area-level,Demographics,SEC_MIGRATION_v1.0,CNSMIGROUTINT,Out migration within the same country (urban-to-urban and rural) in last 5 years ,"Out migration within the same country (urban-to-urban and rural) in last 5 years defined as the proportion of the current population that moved out of the city (L1AD) or sub-city (L2) to other parts of the country (whether urban or rural) in the past 5 years. Note that this is technically not a proportion, as the numerator (people moving out) are not included in the denominator (current population). ",13.08,0,
area-level,Demographics,SEC_MIGRATION_v1.0,CNSMIGROUTINTR,Out migration within the same country (urban-to-rural) in last 5 years ,"Out migration within the same country (urban-to-rural) in last 5 years defined as the proportion of the current population that moved out of the city (L1AD) or sub-city (L2) to non-SALURBAL areas within the country in the past 5 years. Note that this is technically not a proportion, as the numerator (people moving out) are not included in the denominator (current population).",13.08,0,
area-level,Demographics,SEC_MIGRATION_v1.0,CNSMIGROUTINTU,Out migration within the same country (urban-to-urban) in last 5 years,"Out migration within the same country (urban-to-urban) in last 5 years defined as the proportion of the current population that moved out of the city (L1AD) or sub-city (L2) to other SALURBAL areas within the country in the past 5 years. Note that this is technically not a proportion, as the numerator (people moving out) are not included in the denominator (current population).",13.08,0,
area-level,"Social, Economic, and Services Environment",SEC_SegregationIdx_v1.0,REGIONBR,Region in Brazil,"Indicates a region in Brazil:
1 = North
2 = Northeast
3 = Southeast
4 = South
5 = Central-West",100,0,
area-level,"Social, Economic, and Services Environment",SEC_SegregationIdx_v1.0,SGDISEDPRCP,"Dissimilarity index, primary incomplete vs complete",Dissimilarity index: primary incomplete vs. primary completed,77.33,1,
